Label,NetworkID,SurfaceArea_mm2,SurfaceAreaPercent
Network_1,1,6580,0.969209195998256
Network_2,2,9696,1.42818424990868
Network_3,3,13089,1.92796035963848
Network_4,4,22188,3.26820876000141
Network_5,5,16280,2.39798263082851
Network_6,6,12390,1.82500029459246
Network_7,7,11284,1.66209066377573
Network_8,8,29576,4.35643331015873
Network_9,9,36963,5.44451056408564
Network_10,10,31720,4.67223642812533
Network_11,11,25707,3.78654419476097
Network_12,12,48756,7.18157500913237
Network_13,13,48802,7.18835063573053
Network_14,14,149212,21.9783651296796
Network_15,15,22485,3.31195574042869
Network_16,16,54192,7.98227731755889
Network_17,17,30923,4.55484133250062
Network_18,18,34992,5.15418969397735
Network_19,19,41629,6.13179477510812
Network_20,20,32440,4.77828971400964
