network_id,network_label,r,g,b,hex
1,Default_Parietal,0.917647,0.200000,0.137255,#ea3323
2,Default_Anterolateral,0.560784,0.105882,0.419608,#8f1b6b
3,Default_Dorsolateral,0.839216,0.619608,0.254902,#d69e41
4,Default_Retrosplenial,1.000000,1.000000,0.854902,#ffffda
5,Visual_Lateral,0.105882,0.007843,0.572549,#1b0292
6,Visual_Dorsal/VentralStream,0.184314,0.458824,0.709804,#2f75b5
7,Visual_V5,0.725490,0.811765,0.564706,#b9cf90
8,Visual_V1,1.000000,0.709804,0.388235,#ffb563
9,Frontoparietal,0.996078,1.000000,0.329412,#feff54
10,DorsalAttention,0.388235,0.839216,0.247059,#63d63f
11,Premotor,1.000000,0.509804,1.000000,#ff82ff
12,Language,0.250980,0.600000,0.600000,#409999
13,Salience,0.000000,0.000000,0.000000,#000000
14,CinguloOpercular,0.274510,0.027451,0.576471,#460793
15,MedialParietal,0.000000,0.345098,1.000000,#0058ff
16,Somatomotor_Hand,0.439216,1.000000,0.996078,#70fffe
17,Somatomotor_Face,1.000000,0.501961,0.000000,#ff8000
18,Somatomotor_Foot,0.043137,0.329412,0.011765,#0b5403
19,Auditory,0.666667,0.329412,0.972549,#aa54f8
20,SomatoCognitiveAction,0.470588,0.078431,0.078431,#781414
21,Noise,0.500000,0.500000,0.500000,#808080
