group,FCz,mean,ci_lo,ci_hi
DLD,-0.108,4.2755,2.579,7.0878
DLD,-0.102,4.2459,2.5853,6.9731
DLD,-0.096,4.2165,2.5914,6.8606
DLD,-0.09,4.1873,2.5974,6.7503
DLD,-0.084,4.1583,2.6033,6.6421
DLD,-0.078,4.1295,2.609,6.5361
DLD,-0.072,4.1009,2.6145,6.4323
DLD,-0.066,4.0725,2.6198,6.3305
DLD,-0.06,4.0443,2.625,6.2309
DLD,-0.054,4.0163,2.63,6.1333
DLD,-0.048,3.9884,2.6347,6.0377
DLD,-0.042,3.9608,2.6392,5.9442
DLD,-0.036,3.9334,2.6435,5.8527
DLD,-0.03,3.9061,2.6474,5.7633
DLD,-0.024,3.8791,2.6511,5.6758
DLD,-0.018,3.8522,2.6545,5.5903
DLD,-0.012,3.8255,2.6576,5.5068
DLD,-0.006,3.7991,2.6602,5.4254
DLD,-0.0,3.7727,2.6626,5.3458
DLD,0.006,3.7466,2.6644,5.2683
DLD,0.012,3.7207,2.6659,5.1928
DLD,0.018,3.6949,2.6669,5.1192
DLD,0.024,3.6693,2.6673,5.0477
DLD,0.03,3.6439,2.6673,4.9781
DLD,0.036,3.6187,2.6666,4.9106
DLD,0.042,3.5936,2.6653,4.8451
DLD,0.048,3.5687,2.6634,4.7817
DLD,0.054,3.544,2.6608,4.7203
DLD,0.06,3.5194,2.6574,4.6611
DLD,0.066,3.4951,2.6533,4.6039
DLD,0.072,3.4709,2.6483,4.5489
DLD,0.078,3.4468,2.6425,4.496
DLD,0.084,3.4229,2.6357,4.4453
DLD,0.09,3.3992,2.628,4.3968
DLD,0.096,3.3757,2.6193,4.3505
DLD,0.102,3.3523,2.6096,4.3064
DLD,0.108,3.3291,2.5988,4.2646
DLD,0.114,3.306,2.587,4.2249
DLD,0.12,3.2831,2.5741,4.1876
DLD,0.126,3.2604,2.56,4.1524
DLD,0.132,3.2378,2.5449,4.1195
DLD,0.138,3.2154,2.5286,4.0887
DLD,0.144,3.1931,2.5113,4.0601
DLD,0.15,3.171,2.4929,4.0336
DLD,0.156,3.1491,2.4734,4.0092
DLD,0.162,3.1272,2.453,3.9868
DLD,0.168,3.1056,2.4316,3.9663
DLD,0.174,3.0841,2.4094,3.9477
DLD,0.18,3.0627,2.3862,3.931
DLD,0.186,3.0415,2.3624,3.9159
DLD,0.192,3.0204,2.3378,3.9025
DLD,0.198,2.9995,2.3125,3.8906
DLD,0.204,2.9787,2.2867,3.8803
DLD,0.21,2.9581,2.2603,3.8713
DLD,0.216,2.9376,2.2335,3.8637
DLD,0.222,2.9173,2.2063,3.8573
DLD,0.228,2.8971,2.1788,3.8521
DLD,0.234,2.877,2.151,3.848
DLD,0.24,2.8571,2.123,3.845
DLD,0.246,2.8373,2.0949,3.8429
DLD,0.252,2.8176,2.0666,3.8417
DLD,0.258,2.7981,2.0382,3.8413
DLD,0.264,2.7788,2.0099,3.8418
DLD,0.27,2.7595,1.9815,3.843
DLD,0.276,2.7404,1.9532,3.8449
DLD,0.282,2.7214,1.925,3.8474
DLD,0.288,2.7026,1.8968,3.8506
DLD,0.294,2.6839,1.8688,3.8543
DLD,0.3,2.6653,1.841,3.8586
DLD,0.306,2.6468,1.8133,3.8633
DLD,0.312,2.6285,1.7859,3.8686
DLD,0.318,2.6103,1.7586,3.8743
DLD,0.324,2.5922,1.7316,3.8804
DLD,0.33,2.5742,1.7049,3.8869
DLD,0.336,2.5564,1.6783,3.8938
DLD,0.342,2.5387,1.6521,3.9011
DLD,0.348,2.5211,1.6261,3.9087
DLD,0.354,2.5037,1.6004,3.9166
DLD,0.36,2.4863,1.575,3.9248
DLD,0.366,2.4691,1.5499,3.9333
DLD,0.372,2.452,1.5251,3.9421
DLD,0.378,2.435,1.5006,3.9512
DLD,0.384,2.4182,1.4765,3.9605
DLD,0.39,2.4014,1.4526,3.97
DLD,0.396,2.3848,1.429,3.9798
DLD,0.4019,2.3683,1.4058,3.9898
DLD,0.4079,2.3519,1.3828,4.0
DLD,0.4139,2.3356,1.3602,4.0104
DLD,0.4199,2.3194,1.3379,4.021
DLD,0.4259,2.3033,1.3159,4.0317
DLD,0.4319,2.2874,1.2942,4.0427
DLD,0.4379,2.2715,1.2728,4.0538
DLD,0.4439,2.2558,1.2518,4.0652
DLD,0.4499,2.2402,1.231,4.0766
DLD,0.4559,2.2247,1.2106,4.0882
DLD,0.4619,2.2093,1.1904,4.1
DLD,0.4679,2.194,1.1706,4.1119
DLD,0.4739,2.1788,1.1511,4.124
DLD,0.4799,2.1637,1.1318,4.1362
DLD,0.4859,2.1487,1.1129,4.1486
DLD,0.4919,2.1338,1.0942,4.1611
DLD,0.4979,2.119,1.0759,4.1737
DLD,0.5039,2.1043,1.0578,4.1864
DLD,0.5099,2.0898,1.04,4.1993
DLD,0.5159,2.0753,1.0225,4.2122
DLD,0.5219,2.0609,1.0052,4.2253
DLD,0.5279,2.0467,0.9883,4.2386
DLD,0.5339,2.0325,0.9716,4.2519
DLD,0.5399,2.0184,0.9551,4.2653
DLD,0.5459,2.0044,0.939,4.2789
DLD,0.5519,1.9905,0.9231,4.2925
DLD,0.5579,1.9768,0.9074,4.3063
DLD,0.5639,1.9631,0.892,4.3202
DLD,0.5699,1.9495,0.8769,4.3342
DLD,0.5759,1.936,0.8619,4.3482
DLD,0.5819,1.9226,0.8473,4.3624
DLD,0.5879,1.9092,0.8329,4.3767
DLD,0.5939,1.896,0.8187,4.391
DLD,0.5999,1.8829,0.8047,4.4055
DLD,0.6059,1.8698,0.791,4.4201
HSL,-0.119,2.1242,0.9705,4.6493
HSL,-0.1119,2.1334,0.9872,4.6106
HSL,-0.1048,2.1426,1.004,4.5724
HSL,-0.0977,2.1519,1.0211,4.5348
HSL,-0.0905,2.1612,1.0385,4.4978
HSL,-0.0834,2.1705,1.056,4.4614
HSL,-0.0763,2.1799,1.0738,4.4255
HSL,-0.0692,2.1894,1.0918,4.3903
HSL,-0.062,2.1988,1.11,4.3556
HSL,-0.0549,2.2084,1.1285,4.3216
HSL,-0.0478,2.2179,1.1471,4.2881
HSL,-0.0406,2.2275,1.166,4.2553
HSL,-0.0335,2.2371,1.1851,4.2232
HSL,-0.0264,2.2468,1.2043,4.1917
HSL,-0.0193,2.2565,1.2238,4.1608
HSL,-0.0121,2.2663,1.2434,4.1306
HSL,-0.005,2.2761,1.2632,4.1011
HSL,0.0021,2.2859,1.2832,4.0723
HSL,0.0092,2.2958,1.3033,4.0443
HSL,0.0164,2.3058,1.3235,4.0169
HSL,0.0235,2.3157,1.3439,3.9904
HSL,0.0306,2.3257,1.3643,3.9646
HSL,0.0378,2.3358,1.3849,3.9396
HSL,0.0449,2.3459,1.4055,3.9155
HSL,0.052,2.3561,1.4262,3.8922
HSL,0.0591,2.3663,1.4469,3.8699
HSL,0.0663,2.3765,1.4675,3.8484
HSL,0.0734,2.3868,1.4882,3.828
HSL,0.0805,2.3971,1.5087,3.8085
HSL,0.0877,2.4075,1.5292,3.7901
HSL,0.0948,2.4179,1.5496,3.7727
HSL,0.1019,2.4283,1.5697,3.7565
HSL,0.109,2.4388,1.5897,3.7415
HSL,0.1162,2.4494,1.6094,3.7277
HSL,0.1233,2.46,1.6288,3.7153
HSL,0.1304,2.4706,1.6479,3.7041
HSL,0.1375,2.4813,1.6665,3.6944
HSL,0.1447,2.492,1.6848,3.6862
HSL,0.1518,2.5028,1.7025,3.6794
HSL,0.1589,2.5137,1.7196,3.6743
HSL,0.1661,2.5245,1.7361,3.6709
HSL,0.1732,2.5354,1.752,3.6692
HSL,0.1803,2.5464,1.7672,3.6693
HSL,0.1874,2.5574,1.7815,3.6712
HSL,0.1946,2.5685,1.7951,3.6751
HSL,0.2017,2.5796,1.8078,3.681
HSL,0.2088,2.5908,1.8195,3.6889
HSL,0.2159,2.602,1.8303,3.6989
HSL,0.2231,2.6132,1.8402,3.7111
HSL,0.2302,2.6245,1.849,3.7254
HSL,0.2373,2.6359,1.8568,3.7419
HSL,0.2445,2.6473,1.8635,3.7607
HSL,0.2516,2.6587,1.8692,3.7817
HSL,0.2587,2.6702,1.8739,3.805
HSL,0.2658,2.6818,1.8775,3.8306
HSL,0.273,2.6934,1.8801,3.8584
HSL,0.2801,2.705,1.8817,3.8885
HSL,0.2872,2.7167,1.8824,3.9209
HSL,0.2944,2.7285,1.8821,3.9556
HSL,0.3015,2.7403,1.8808,3.9924
HSL,0.3086,2.7521,1.8788,4.0315
HSL,0.3157,2.764,1.8758,4.0728
HSL,0.3229,2.776,1.8721,4.1163
HSL,0.33,2.788,1.8676,4.1619
HSL,0.3371,2.8001,1.8625,4.2097
HSL,0.3442,2.8122,1.8566,4.2595
HSL,0.3514,2.8243,1.8502,4.3114
HSL,0.3585,2.8366,1.8431,4.3654
HSL,0.3656,2.8488,1.8356,4.4215
HSL,0.3728,2.8612,1.8275,4.4795
HSL,0.3799,2.8735,1.8189,4.5396
HSL,0.387,2.886,1.81,4.6017
HSL,0.3941,2.8984,1.8006,4.6657
HSL,0.4013,2.911,1.7908,4.7317
HSL,0.4084,2.9236,1.7808,4.7998
HSL,0.4155,2.9362,1.7704,4.8697
HSL,0.4226,2.9489,1.7598,4.9417
HSL,0.4298,2.9617,1.7489,5.0156
HSL,0.4369,2.9745,1.7377,5.0914
HSL,0.444,2.9874,1.7264,5.1693
HSL,0.4512,3.0003,1.7149,5.2491
HSL,0.4583,3.0133,1.7032,5.3309
HSL,0.4654,3.0263,1.6914,5.4147
HSL,0.4725,3.0394,1.6795,5.5005
HSL,0.4797,3.0525,1.6674,5.5884
HSL,0.4868,3.0657,1.6552,5.6782
HSL,0.4939,3.079,1.643,5.7702
HSL,0.5011,3.0923,1.6306,5.8642
HSL,0.5082,3.1057,1.6183,5.9603
HSL,0.5153,3.1191,1.6058,6.0585
HSL,0.5224,3.1326,1.5934,6.1589
HSL,0.5296,3.1462,1.5809,6.2614
HSL,0.5367,3.1598,1.5683,6.3661
HSL,0.5438,3.1734,1.5558,6.4731
HSL,0.5509,3.1872,1.5433,6.5822
HSL,0.5581,3.201,1.5307,6.6937
HSL,0.5652,3.2148,1.5182,6.8075
HSL,0.5723,3.2287,1.5057,6.9236
HSL,0.5795,3.2427,1.4932,7.042
HSL,0.5866,3.2567,1.4807,7.1629
HSL,0.5937,3.2708,1.4683,7.2863
HSL,0.6008,3.2849,1.4559,7.4121
HSL,0.608,3.2992,1.4435,7.5404
HSL,0.6151,3.3134,1.4312,7.6713
HSL,0.6222,3.3278,1.4189,7.8048
HSL,0.6294,3.3422,1.4066,7.9409
HSL,0.6365,3.3566,1.3945,8.0797
HSL,0.6436,3.3711,1.3823,8.2212
HSL,0.6507,3.3857,1.3703,8.3655
HSL,0.6579,3.4004,1.3583,8.5127
HSL,0.665,3.4151,1.3463,8.6627
HSL,0.6721,3.4298,1.3344,8.8156
HSL,0.6792,3.4447,1.3226,8.9714
HSL,0.6864,3.4596,1.3109,9.1303
HSL,0.6935,3.4745,1.2992,9.2923
HSL,0.7006,3.4896,1.2876,9.4573
HSL,0.7078,3.5047,1.276,9.6256
HSL,0.7149,3.5198,1.2646,9.797
HSL,0.722,3.5351,1.2532,9.9718
HSL,0.7291,3.5503,1.2419,10.1499
TD,-0.1873,0.543,0.2772,1.0638
TD,-0.1798,0.5485,0.2828,1.0637
TD,-0.1722,0.554,0.2886,1.0637
TD,-0.1646,0.5596,0.2944,1.0637
TD,-0.157,0.5653,0.3004,1.0637
TD,-0.1495,0.571,0.3064,1.0639
TD,-0.1419,0.5767,0.3126,1.064
TD,-0.1343,0.5825,0.3188,1.0643
TD,-0.1267,0.5884,0.3252,1.0646
TD,-0.1191,0.5943,0.3317,1.0649
TD,-0.1116,0.6003,0.3383,1.0654
TD,-0.104,0.6064,0.345,1.0659
TD,-0.0964,0.6125,0.3518,1.0665
TD,-0.0888,0.6187,0.3587,1.0671
TD,-0.0813,0.6249,0.3657,1.0678
TD,-0.0737,0.6312,0.3728,1.0687
TD,-0.0661,0.6376,0.3801,1.0696
TD,-0.0585,0.644,0.3874,1.0706
TD,-0.0509,0.6505,0.3948,1.0717
TD,-0.0434,0.6571,0.4024,1.073
TD,-0.0358,0.6637,0.41,1.0743
TD,-0.0282,0.6704,0.4177,1.0758
TD,-0.0206,0.6771,0.4256,1.0774
TD,-0.0131,0.684,0.4335,1.0791
TD,-0.0055,0.6909,0.4415,1.081
TD,0.0021,0.6978,0.4496,1.083
TD,0.0097,0.7049,0.4578,1.0853
TD,0.0173,0.712,0.4661,1.0876
TD,0.0248,0.7191,0.4744,1.0902
TD,0.0324,0.7264,0.4828,1.093
TD,0.04,0.7337,0.4912,1.0959
TD,0.0476,0.7411,0.4997,1.0991
TD,0.0552,0.7486,0.5083,1.1026
TD,0.0627,0.7561,0.5168,1.1062
TD,0.0703,0.7638,0.5254,1.1102
TD,0.0779,0.7715,0.5341,1.1144
TD,0.0855,0.7792,0.5427,1.1189
TD,0.093,0.7871,0.5513,1.1238
TD,0.1006,0.795,0.5599,1.129
TD,0.1082,0.8031,0.5684,1.1345
TD,0.1158,0.8112,0.577,1.1404
TD,0.1234,0.8193,0.5854,1.1467
TD,0.1309,0.8276,0.5938,1.1534
TD,0.1385,0.8359,0.6021,1.1606
TD,0.1461,0.8444,0.6103,1.1682
TD,0.1537,0.8529,0.6184,1.1763
TD,0.1612,0.8615,0.6263,1.1849
TD,0.1688,0.8702,0.6341,1.1941
TD,0.1764,0.8789,0.6418,1.2037
TD,0.184,0.8878,0.6493,1.214
TD,0.1916,0.8968,0.6566,1.2248
TD,0.1991,0.9058,0.6637,1.2363
TD,0.2067,0.9149,0.6706,1.2484
TD,0.2143,0.9242,0.6772,1.2611
TD,0.2219,0.9335,0.6837,1.2745
TD,0.2294,0.9429,0.69,1.2886
TD,0.237,0.9524,0.696,1.3033
TD,0.2446,0.962,0.7017,1.3188
TD,0.2522,0.9717,0.7073,1.335
TD,0.2598,0.9815,0.7126,1.3519
TD,0.2673,0.9914,0.7177,1.3696
TD,0.2749,1.0014,0.7225,1.388
TD,0.2825,1.0115,0.7271,1.4071
TD,0.2901,1.0217,0.7315,1.4271
TD,0.2976,1.032,0.7356,1.4478
TD,0.3052,1.0424,0.7396,1.4692
TD,0.3128,1.0529,0.7433,1.4915
TD,0.3204,1.0635,0.7468,1.5145
TD,0.328,1.0743,0.7502,1.5384
TD,0.3355,1.0851,0.7533,1.563
TD,0.3431,1.096,0.7563,1.5885
TD,0.3507,1.1071,0.759,1.6147
TD,0.3583,1.1182,0.7617,1.6418
TD,0.3658,1.1295,0.7641,1.6697
TD,0.3734,1.1409,0.7664,1.6984
TD,0.381,1.1524,0.7686,1.728
TD,0.3886,1.164,0.7706,1.7584
TD,0.3962,1.1758,0.7724,1.7897
TD,0.4037,1.1876,0.7742,1.8218
TD,0.4113,1.1996,0.7758,1.8548
TD,0.4189,1.2117,0.7774,1.8887
TD,0.4265,1.2239,0.7788,1.9235
TD,0.434,1.2363,0.7801,1.9592
TD,0.4416,1.2487,0.7813,1.9959
TD,0.4492,1.2613,0.7824,2.0334
TD,0.4568,1.274,0.7834,2.0719
TD,0.4644,1.2869,0.7843,2.1114
TD,0.4719,1.2999,0.7852,2.1518
TD,0.4795,1.313,0.786,2.1933
TD,0.4871,1.3262,0.7867,2.2357
TD,0.4947,1.3396,0.7873,2.2792
TD,0.5022,1.3531,0.7879,2.3237
TD,0.5098,1.3667,0.7884,2.3692
TD,0.5174,1.3805,0.7889,2.4158
TD,0.525,1.3944,0.7893,2.4636
TD,0.5326,1.4085,0.7896,2.5124
TD,0.5401,1.4227,0.7899,2.5624
TD,0.5477,1.437,0.7902,2.6135
TD,0.5553,1.4515,0.7903,2.6658
TD,0.5629,1.4662,0.7905,2.7193
TD,0.5704,1.4809,0.7906,2.7741
TD,0.578,1.4959,0.7907,2.83
TD,0.5856,1.511,0.7907,2.8873
TD,0.5932,1.5262,0.7907,2.9458
TD,0.6008,1.5416,0.7907,3.0057
TD,0.6083,1.5571,0.7906,3.0669
TD,0.6159,1.5728,0.7905,3.1295
TD,0.6235,1.5887,0.7904,3.1934
TD,0.6311,1.6047,0.7902,3.2588
TD,0.6386,1.6209,0.79,3.3257
TD,0.6462,1.6372,0.7898,3.3941
TD,0.6538,1.6537,0.7895,3.4639
TD,0.6614,1.6704,0.7893,3.5353
TD,0.669,1.6873,0.789,3.6083
TD,0.6765,1.7043,0.7887,3.6829
TD,0.6841,1.7215,0.7883,3.7592
TD,0.6917,1.7388,0.788,3.8371
TD,0.6993,1.7564,0.7876,3.9168
