network_id,network_label,contrast,diff,hedges,gh_p,dunn_p,omnibus_p,omnibus_p_fdr,omnibus_sig,protected
1,Default_Parietal,DLD-TD,0.043246112610857645,0.3326688034834965,0.1770317283536822,0.12196926651824286,0.159918037061404,0.9286666345355828,False,False
1,Default_Parietal,HSL-TD,-0.00871936968501763,-0.061804907485284236,0.9686788755332123,0.49211354991307177,0.159918037061404,0.9286666345355828,False,False
1,Default_Parietal,DLD-HSL,0.051965482295875276,0.3507412218627543,0.35743154949796063,0.09744659473330461,0.159918037061404,0.9286666345355828,False,False
2,Default_Anterolateral,DLD-TD,-0.0587363574463744,-0.247968051052643,0.3663632776908128,0.576185631305432,0.3602771971278229,0.9286666345355828,False,False
2,Default_Anterolateral,HSL-TD,0.0002706587530783011,0.0010290974595161954,0.999990177734669,0.9579575284537754,0.3602771971278229,0.9286666345355828,False,False
2,Default_Anterolateral,DLD-HSL,-0.0590070161994527,-0.23671299103772125,0.6285604126483343,0.576185631305432,0.3602771971278229,0.9286666345355828,False,False
3,Default_Dorsolateral,DLD-TD,0.00460128106789659,0.013454724445135015,0.9971251252716498,1.0,0.8110638600298926,0.9436261790985616,False,False
3,Default_Dorsolateral,HSL-TD,-0.04104346755696908,-0.12769766199390756,0.8331618677679529,1.0,0.8110638600298926,0.9436261790985616,False,False
3,Default_Dorsolateral,DLD-HSL,0.04564474862486567,0.1328050388418405,0.8217690815331058,1.0,0.8110638600298926,0.9436261790985616,False,False
4,Default_Retrosplenial,DLD-TD,-0.06090850854410923,-0.16977064649764942,0.629177982638005,0.5888419524553692,0.21961518474613612,0.9286666345355828,False,False
4,Default_Retrosplenial,HSL-TD,0.06481352184828015,0.1935405614939007,0.6090228776059686,0.5888419524553692,0.21961518474613612,0.9286666345355828,False,False
4,Default_Retrosplenial,DLD-HSL,-0.12572203039238938,-0.37668108778975196,0.18898765160947772,0.2375039451708246,0.21961518474613612,0.9286666345355828,False,False
5,Visual_Lateral,DLD-TD,-0.05926073364446527,-0.15981335281109962,0.661084760726455,0.7963228013382091,0.6873042886556798,0.9436261790985616,False,False
5,Visual_Lateral,HSL-TD,-0.021059241552400465,-0.05523413218721832,0.9690808500303633,1.0,0.6873042886556798,0.9436261790985616,False,False
5,Visual_Lateral,DLD-HSL,-0.038201492092064804,-0.10192030331144687,0.9053551844683758,1.0,0.6873042886556798,0.9436261790985616,False,False
6,Visual_Dorsal/VentralStream,DLD-TD,-0.008973919082585269,-0.02104103651481844,0.9931726900125545,1.0,0.8991591004238297,0.9436261790985616,False,False
6,Visual_Dorsal/VentralStream,HSL-TD,-0.05598267864982853,-0.12519913216381112,0.8885325797526383,1.0,0.8991591004238297,0.9436261790985616,False,False
6,Visual_Dorsal/VentralStream,DLD-HSL,0.04700875956724326,0.09073597758606636,0.9296860585445326,1.0,0.8991591004238297,0.9436261790985616,False,False
7,Visual_V5,DLD-TD,-0.012424246759404456,-0.028944886589327982,0.9868831842574548,1.0,0.9173142768898057,0.9436261790985616,False,False
7,Visual_V5,HSL-TD,0.032077542921238544,0.0769237128169729,0.944713187282349,1.0,0.9173142768898057,0.9436261790985616,False,False
7,Visual_V5,DLD-HSL,-0.044501789680643,-0.09667179916988868,0.9093419039981996,1.0,0.9173142768898057,0.9436261790985616,False,False
8,Visual_V1,DLD-TD,0.0045689038923590886,0.0054085719255614105,0.9995313836296379,0.8892254452577788,0.5308151020841186,0.9286666345355828,False,False
8,Visual_V1,HSL-TD,0.195364015219055,0.23940499363274123,0.5381341776863665,0.8892254452577788,0.5308151020841186,0.9286666345355828,False,False
8,Visual_V1,DLD-HSL,-0.1907951113266959,-0.22492497025310348,0.5860475264500753,0.8892254452577788,0.5308151020841186,0.9286666345355828,False,False
9,Frontoparietal,DLD-TD,0.198226510775795,0.20122454566520553,0.5311057883538626,0.8639063276323236,0.5114947580653064,0.9286666345355828,False,False
9,Frontoparietal,HSL-TD,-0.02929779412481981,-0.02994278647643354,0.9918254265575632,0.8639063276323236,0.5114947580653064,0.9286666345355828,False,False
9,Frontoparietal,DLD-HSL,0.22752430490061482,0.21089765333322166,0.6499773555611553,0.8639063276323236,0.5114947580653064,0.9286666345355828,False,False
10,DorsalAttention,DLD-TD,0.0651760510164916,0.06514817009667806,0.9371290888960818,0.9666711315863398,0.5571999807213497,0.9286666345355828,False,False
10,DorsalAttention,HSL-TD,-0.20318319316885702,-0.22341101886863957,0.6377444640662069,0.8601670461920338,0.5571999807213497,0.9286666345355828,False,False
10,DorsalAttention,DLD-HSL,0.2683592441853486,0.23999456083980214,0.5399891579202907,0.8601670461920338,0.5571999807213497,0.9286666345355828,False,False
11,Premotor,DLD-TD,0.3526309502429763,0.26078712257388315,0.3410567931936771,0.5140511781164603,0.22473680430763968,0.9286666345355828,False,False
11,Premotor,HSL-TD,-0.14898521750609195,-0.11193688848570352,0.8773545744340795,0.5140511781164603,0.22473680430763968,0.9286666345355828,False,False
11,Premotor,DLD-HSL,0.5016161677490683,0.3635517195883348,0.2679686611852722,0.2971997204544502,0.22473680430763968,0.9286666345355828,False,False
12,Language,DLD-TD,-0.08621290074476473,-0.07343833578706584,0.9176976164115334,1.0,0.9232014621483243,0.9436261790985616,False,False
12,Language,HSL-TD,-0.0536468988993164,-0.047307909495856976,0.9766291050580564,1.0,0.9232014621483243,0.9436261790985616,False,False
12,Language,DLD-HSL,-0.032566001845448334,-0.02710254671652041,0.9922772229363076,1.0,0.9232014621483243,0.9436261790985616,False,False
13,Salience,DLD-TD,-0.10574945644394518,-0.08530131914971452,0.8876395941241085,1.0,0.8785644434730869,0.9436261790985616,False,False
13,Salience,HSL-TD,0.0004795527686569656,0.0003871547016401417,0.9999982374813043,1.0,0.8785644434730869,0.9436261790985616,False,False
13,Salience,DLD-HSL,-0.10622900921260214,-0.09029938685592659,0.9187544654284501,1.0,0.8785644434730869,0.9436261790985616,False,False
14,CinguloOpercular,DLD-TD,-0.9335850893905349,-0.3948810891600216,0.07400135299515997,0.3720302642278423,0.0906880832421066,0.9286666345355828,False,False
14,CinguloOpercular,HSL-TD,-0.42689401163126206,-0.16977644775670184,0.6810637821759559,0.8121065077896689,0.0906880832421066,0.9286666345355828,False,False
14,CinguloOpercular,DLD-HSL,-0.5066910777592728,-0.26054753227569166,0.5237121917180567,0.6566500711819241,0.0906880832421066,0.9286666345355828,False,False
15,MedialParietal,DLD-TD,-0.017320867501013026,-0.02127371986095364,0.9928654690638418,1.0,0.79416611611086,0.9436261790985616,False,False
15,MedialParietal,HSL-TD,0.10586378292298004,0.13685193787689393,0.8228521934117603,1.0,0.79416611611086,0.9436261790985616,False,False
15,MedialParietal,DLD-HSL,-0.12318465042399307,-0.1460614567835977,0.7959695233742413,1.0,0.79416611611086,0.9436261790985616,False,False
16,Somatomotor_Hand,DLD-TD,0.42905156937071176,0.30090860523992086,0.24211269046508188,0.42846851677094056,0.27995979341574284,0.9286666345355828,False,False
16,Somatomotor_Hand,HSL-TD,0.19737376956812103,0.12971840465363133,0.8674215289337222,0.9490658977327624,0.27995979341574284,0.9286666345355828,False,False
16,Somatomotor_Hand,DLD-HSL,0.23167779980259073,0.14386560361323844,0.8340993096758494,0.9490658977327624,0.27995979341574284,0.9286666345355828,False,False
17,Somatomotor_Face,DLD-TD,0.17420218927378617,0.16642445848775103,0.6368650768695585,1.0,0.44112357633233357,0.9286666345355828,False,False
17,Somatomotor_Face,HSL-TD,0.24743672063868072,0.24737910597849957,0.4369841389222454,0.9547610651455236,0.44112357633233357,0.9286666345355828,False,False
17,Somatomotor_Face,DLD-HSL,-0.07323453136489455,-0.07759552276522552,0.9310888458089353,1.0,0.44112357633233357,0.9286666345355828,False,False
18,Somatomotor_Foot,DLD-TD,0.09073778143541578,0.06358352188436721,0.9374364565425379,1.0,0.9436261790985616,0.9436261790985616,False,False
18,Somatomotor_Foot,HSL-TD,0.03713187310172916,0.025747984126115828,0.9936430287306423,1.0,0.9436261790985616,0.9436261790985616,False,False
18,Somatomotor_Foot,DLD-HSL,0.053605908333686614,0.0354390601439648,0.9879209852529738,1.0,0.9436261790985616,0.9436261790985616,False,False
19,Auditory,DLD-TD,0.3207098558595707,0.21374644042409718,0.49373929363230606,0.5940056743379467,0.5246593905708714,0.9286666345355828,False,False
19,Auditory,HSL-TD,0.0640332352341133,0.04466383918869751,0.9815792287783549,1.0,0.5246593905708714,0.9286666345355828,False,False
19,Auditory,DLD-HSL,0.2566766206254574,0.1562573168577539,0.7785719843933081,1.0,0.5246593905708714,0.9286666345355828,False,False
20,SomatoCognitiveAction,DLD-TD,-0.3399791259886662,-0.22293501501526708,0.44695923144524974,1.0,0.41279799206095363,0.9286666345355828,False,False
20,SomatoCognitiveAction,HSL-TD,0.04396719979861974,0.027207472377116543,0.9927643858236913,1.0,0.41279799206095363,0.9286666345355828,False,False
20,SomatoCognitiveAction,DLD-HSL,-0.38394632578728594,-0.24455684290111454,0.5853757988974349,1.0,0.41279799206095363,0.9286666345355828,False,False
